qid	gold_chunk	doc_name	n_dup	n_dup_other_doc	top_sim	top3
DAPA-L2-005	admrul:2100000233526:000600	국외사업 현장감독관 선발 및 운영 지침	0	0	0.0	
DAPA-L2-005	admrul:2100000233526:000700	국외사업 현장감독관 선발 및 운영 지침	0	0	0.0	
DAPA-L2-006	law:003000:003300	군수품관리법 시행령	0	0	0.0	
DAPA-L2-006	law:003000:003500	군수품관리법 시행령	0	0	0.0	
DAPA-L2-006	law:003000:003800	군수품관리법 시행령	0	0	0.0	
DAPA-L2-007	admrul:2100000274606:001400	방위사업청 공무원 인사운영규정	0	0	0.0	
DAPA-L2-007	admrul:2100000274606:001700	방위사업청 공무원 인사운영규정	0	0	0.0	
DAPA-L2-008	admrul:2100000215282:001000	방첩업무 규정	0	0	0.0	
DAPA-L2-008	admrul:2100000215282:001200	방첩업무 규정	0	0	0.0	
DAPA-L2-009	admrul:2100000280954:000500	조달원 등록정보 관리지침	0	0	0.0	
DAPA-L2-009	admrul:2100000280954:000600	조달원 등록정보 관리지침	0	0	0.0	
DAPA-L2-009	admrul:2100000280954:000800	조달원 등록정보 관리지침	0	0	0.0	
DAPA-L2-010	admrul:2100000272786:003100	국제경쟁력강화 지원사업 운영규정	2	2	0.779	admrul:2100000275704:007200(0.779);admrul:2100000220762:002500(0.6591)
DAPA-L2-010	admrul:2100000272786:003102	국제경쟁력강화 지원사업 운영규정	0	0	0.0	
DAPA-L2-011	admrul:2100000274582:000600	(방위사업청) 적극행정공무원의 징계절차에서의 소명 또는 소송 등에 관한 지원 지침	0	0	0.0	
DAPA-L2-011	admrul:2100000274582:000700	(방위사업청) 적극행정공무원의 징계절차에서의 소명 또는 소송 등에 관한 지원 지침	0	0	0.0	
DAPA-L2-012	admrul:2100000282592:000400	방위력개선사업 협상에 의한 계약체결기준	0	0	0.0	
DAPA-L2-012	admrul:2100000282592:001802	방위력개선사업 협상에 의한 계약체결기준	0	0	0.0	
DAPA-L2-013	admrul:2100000274666:002600	국방기술 연구개발 업무처리지침	0	0	0.0	
DAPA-L2-013	admrul:2100000274666:002700	국방기술 연구개발 업무처리지침	0	0	0.0	
DAPA-L2-013	admrul:2100000274666:006500	국방기술 연구개발 업무처리지침	1	0	0.7781	admrul:2100000274666:006200(0.7781)
DAPA-L2-014	admrul:2100000274618:000600	미래도전국방기술 연구개발 업무처리지침	0	0	0.0	
DAPA-L2-014	admrul:2100000274618:000700	미래도전국방기술 연구개발 업무처리지침	3	3	0.836	admrul:2100000281918:001000(0.836);admrul:2100000274620:000700(0.6211);admrul:2100000274602:002100(0.621)
DAPA-L2-015	admrul:2100000252852:000400	방산기술혁신펀드 운영규정	0	0	0.0	
DAPA-L2-015	admrul:2100000252852:001000	방산기술혁신펀드 운영규정	0	0	0.0	
DAPA-L2-016	admrul:2100000274576:003200	회계처리 및 구분회계 기준에 관한 훈령	0	0	0.0	
DAPA-L2-016	admrul:2100000274576:003600	회계처리 및 구분회계 기준에 관한 훈령	0	0	0.0	
DAPA-L2-016	admrul:2100000274576:003700	회계처리 및 구분회계 기준에 관한 훈령	0	0	0.0	
DAPA-L2-017	admrul:2100000270104:007700	전략물자수출입고시	0	0	0.0	
DAPA-L2-017	admrul:2100000270104:008300	전략물자수출입고시	0	0	0.0	
DAPA-L2-018	admrul:2100000272968:002300	방산원가대상물자의 원가계산에 관한 시행세칙	0	0	0.0	
DAPA-L2-018	admrul:2100000272968:002900	방산원가대상물자의 원가계산에 관한 시행세칙	1	0	0.6	admrul:2100000272968:002800(0.6)
DAPA-L2-019	admrul:2100000279406:001000	현존전력 성능 극대화 사업 업무지침	0	0	0.0	
DAPA-L2-019	admrul:2100000279406:001100	현존전력 성능 극대화 사업 업무지침	0	0	0.0	
DAPA-L2-020	admrul:2100000247910:000600	방위사업청 공직자의 이해충돌 방지제도 운영지침	0	0	0.0	
DAPA-L2-020	admrul:2100000247910:001000	방위사업청 공직자의 이해충돌 방지제도 운영지침	0	0	0.0	
DAPA-L3-001	admrul:2100000282660:001200	외주정비 계약특수조건 표준	4	4	0.9886	admrul:2100000282658:001900(0.9886);admrul:2100000282662:001900(0.9886);admrul:2100000282680:001900(0.9886)
DAPA-L3-001	law:010107:004602	방위사업법	0	0	0.0	
DAPA-L3-001	law:010126:006107	방위사업법 시행령	0	0	0.0	
DAPA-L3-002	admrul:2100000247152:000600	기술성숙도평가 및 제조성숙도평가 업무처리규정	0	0	0.0	
DAPA-L3-002	admrul:2100000280268:001000	선행연구 수행지침	0	0	0.0	
DAPA-L3-002	law:010107:001402	방위사업법	0	0	0.0	
DAPA-L3-002	law:014049:000300	국방과학기술혁신 촉진법 시행령	0	0	0.0	
DAPA-L3-003	admrul:2100000275470:001900	방위사업 감독규정	0	0	0.0	
DAPA-L3-003	law:010107:000800	방위사업법	0	0	0.0	
DAPA-L3-003	law:010126:001200	방위사업법 시행령	0	0	0.0	
DAPA-L3-004	admrul:2100000272176:003700	무기체계 연구개발 표준협약서	0	0	0.0	
DAPA-L3-004	law:010107:000600	방위사업법	0	0	0.0	
DAPA-L3-004	law:010126:000400	방위사업법 시행령	0	0	0.0	
DAPA-L3-005	admrul:2100000279376:013100	방위사업관리규정	0	0	0.0	
DAPA-L3-005	law:010107:001502	방위사업법	0	0	0.0	
DAPA-L3-005	law:010107:001900	방위사업법	0	0	0.0	
DAPA-L3-005	law:014049:000300	국방과학기술혁신 촉진법 시행령	0	0	0.0	
DAPA-L3-006	admrul:2100000279376:013300	방위사업관리규정	0	0	0.0	
DAPA-L3-006	law:010107:001600	방위사업법	0	0	0.0	
DAPA-L3-006	law:014049:000300	국방과학기술혁신 촉진법 시행령	0	0	0.0	
DAPA-L3-007	admrul:2100000206396:000600	국방연구개발사업 출연금의 지급·사용 및 관리에 관한 고시	0	0	0.0	
DAPA-L3-007	law:013716:000200	국방과학기술혁신 촉진법	0	0	0.0	
DAPA-L3-007	law:014049:000500	국방과학기술혁신 촉진법 시행령	0	0	0.0	
DAPA-L3-008	admrul:2100000277864:004202	방위산업기술 보호지침	0	0	0.0	
DAPA-L3-008	law:012437:000500	방위산업기술 보호법	0	0	0.0	
DAPA-L3-008	law:012592:001700	방위산업기술 보호법 시행령	0	0	0.0	
DAPA-L3-009	admrul:2100000274618:004000	미래도전국방기술 연구개발 업무처리지침	0	0	0.0	
DAPA-L3-009	admrul:2100000279376:017200	방위사업관리규정	0	0	0.0	
DAPA-L3-009	law:013716:001000	국방과학기술혁신 촉진법	0	0	0.0	
DAPA-L3-009	law:014049:001300	국방과학기술혁신 촉진법 시행령	0	0	0.0	
DAPA-L3-010	admrul:2100000282678:001400	물품 제조·구매 계약특수조건 표준(일반 및 방산)	4	4	0.9956	admrul:2100000282658:001900(0.9956);admrul:2100000282662:001900(0.9956);admrul:2100000282680:001900(0.9956)
DAPA-L3-010	law:010107:004602	방위사업법	0	0	0.0	
DAPA-L3-010	law:010126:006107	방위사업법 시행령	0	0	0.0	
DAPA-L3-011	admrul:2100000235076:000100	방산협력지원관 선발 및 운영에 관한 규정	0	0	0.0	
DAPA-L3-011	law:010126:002400	방위사업법 시행령	0	0	0.0	
DAPA-L3-011	law:013668:001500	방위산업 발전 및 지원에 관한 법률	0	0	0.0	
DAPA-L3-012	admrul:2100000251040:000100	방산 수출입 심사업무 훈령	0	0	0.0	
DAPA-L3-012	law:010107:005300	방위사업법	0	0	0.0	
DAPA-L3-012	law:010126:006800	방위사업법 시행령	0	0	0.0	
DAPA-L3-012	law:010194:004100	방위사업법 시행규칙	0	0	0.0	
DAPA-L3-013	admrul:2100000206396:000500	국방연구개발사업 출연금의 지급·사용 및 관리에 관한 고시	1	0	0.6328	admrul:2100000206396:000400(0.6328)
DAPA-L3-013	admrul:2100000272968:002002	방산원가대상물자의 원가계산에 관한 시행세칙	0	0	0.0	
DAPA-L3-013	law:007199:002000	방산원가대상물자의 원가계산에 관한 규칙	0	0	0.0	
DAPA-L3-013	law:013716:000200	국방과학기술혁신 촉진법	0	0	0.0	
DAPA-L3-014	admrul:2100000257920:000800	방위산업에 관한 착수금 및 중도금 지급세칙	0	0	0.0	
DAPA-L3-014	law:007204:000500	방위산업에 관한 착수금 및 중도금 지급규칙	0	0	0.0	
DAPA-L3-014	law:007204:000502	방위산업에 관한 착수금 및 중도금 지급규칙	0	0	0.0	
DAPA-L3-014	law:010126:006107	방위사업법 시행령	0	0	0.0	
DAPA-L3-015	admrul:2100000277864:003400	방위산업기술 보호지침	0	0	0.0	
DAPA-L3-015	law:012437:000800	방위산업기술 보호법	0	0	0.0	
DAPA-L3-015	law:012592:001400	방위산업기술 보호법 시행령	0	0	0.0	
DAPA-L3-016	admrul:2100000274666:006700	국방기술 연구개발 업무처리지침	1	1	0.8167	admrul:2100000274618:004600(0.8167)
DAPA-L3-016	law:013716:000900	국방과학기술혁신 촉진법	0	0	0.0	
DAPA-L3-016	law:014049:000800	국방과학기술혁신 촉진법 시행령	0	0	0.0	
DAPA-L3-017	admrul:2100000264396:001300	표준화 업무규정	0	0	0.0	
DAPA-L3-017	law:010107:002200	방위사업법	0	0	0.0	
DAPA-L3-017	law:010126:007100	방위사업법 시행령	0	0	0.0	
DAPA-L3-018	admrul:2100000257926:002000	기성제도 운영지침	0	0	0.0	
DAPA-L3-018	law:007204:000602	방위산업에 관한 착수금 및 중도금 지급규칙	0	0	0.0	
DAPA-L3-018	law:010126:007100	방위사업법 시행령	0	0	0.0	
DAPA-L3-019	admrul:2100000245608:002900	(방위사업청) 민·군기술협력사업 공동시행규정	0	0	0.0	
DAPA-L3-019	law:013774:001500	국가연구개발혁신법	0	0	0.0	
DAPA-L3-019	law:013933:003100	국가연구개발혁신법 시행령	0	0	0.0	
DAPA-L3-020	admrul:2100000272968:002300	방산원가대상물자의 원가계산에 관한 시행세칙	0	0	0.0	
DAPA-L3-020	law:007199:001700	방산원가대상물자의 원가계산에 관한 규칙	0	0	0.0	
DAPA-L3-020	law:010126:005000	방위사업법 시행령	0	0	0.0	
DAPA-L4-001	admrul:2100000279376:004400	방위사업관리규정	0	0	0.0	
DAPA-L4-002	admrul:2100000279376:015500	방위사업관리규정	0	0	0.0	
DAPA-L4-003	admrul:2100000279376:007200	방위사업관리규정	0	0	0.0	
DAPA-L4-004	admrul:2100000279376:012802	방위사업관리규정	0	0	0.0	
DAPA-L4-005	admrul:2100000282600:003900	군수품조달관리규정	0	0	0.0	
DAPA-L4-005	admrul:2100000282600:buchik		0	0	0.0	
DAPA-L4-006	admrul:2100000282600:003902	군수품조달관리규정	0	0	0.0	
DAPA-L4-006	admrul:2100000282600:buchik		0	0	0.0	
DAPA-L4-007	admrul:2100000279376:011400	방위사업관리규정	0	0	0.0	
DAPA-L4-008	admrul:2100000282600:007900	군수품조달관리규정	0	0	0.0	
DAPA-L4-008	admrul:2100000282600:buchik		0	0	0.0	
DAPA-L4-009	admrul:2100000282600:004200	군수품조달관리규정	0	0	0.0	
DAPA-L4-009	admrul:2100000282600:buchik		0	0	0.0	
DAPA-L4-010	admrul:2100000282600:003903	군수품조달관리규정	0	0	0.0	
DAPA-L4-010	admrul:2100000282600:buchik		0	0	0.0	
DAPA-L4-011	admrul:2100000282658:004500	일반무기체계 연구개발 계약특수조건 표준	2	2	0.7036	admrul:2100000282678:003900(0.7036);admrul:2100000282680:004400(0.7034)
DAPA-L4-012	admrul:2100000282658:004600	일반무기체계 연구개발 계약특수조건 표준	1	1	0.6136	admrul:2100000272176:002300(0.6136)
DAPA-L4-013	admrul:2100000272968:004600	방산원가대상물자의 원가계산에 관한 시행세칙	0	0	0.0	
DAPA-L4-014	admrul:2100000272968:002000	방산원가대상물자의 원가계산에 관한 시행세칙	0	0	0.0	
DAPA-L4-015	admrul:2100000272968:003200	방산원가대상물자의 원가계산에 관한 시행세칙	0	0	0.0	
DAPA-L4-016	admrul:2100000272968:003202	방산원가대상물자의 원가계산에 관한 시행세칙	0	0	0.0	
DAPA-L4-017	admrul:2100000282658:000800	일반무기체계 연구개발 계약특수조건 표준	3	3	0.9737	admrul:2100000218775:000800(0.9737);admrul:2100000282678:000500(0.97);admrul:2100000282680:000700(0.9336)
DAPA-L4-018	admrul:2100000282658:001000	일반무기체계 연구개발 계약특수조건 표준	6	6	0.9989	admrul:2100000282660:000600(0.9989);admrul:2100000282656:000700(0.9989);admrul:2100000282662:001200(0.9988)
DAPA-L4-019	admrul:2100000282658:003600	일반무기체계 연구개발 계약특수조건 표준	7	7	0.9773	admrul:2100000282662:002300(0.9773);admrul:2100000282660:003000(0.9772);admrul:2100000282678:003000(0.9772)
DAPA-L4-020	admrul:2100000272968:002600	방산원가대상물자의 원가계산에 관한 시행세칙	0	0	0.0	
